,1,Title,Company,City,Offer_website,Updated,Full_Half_Time_Job,Google_link,Apply_link
0,N,Data Scientist,Naturgy,Barcelona,a través de Jobilize,hace 2 días,A tiempo completo,https://da.gd/voXUlP,https://da.gd/f4QO
1,Data Scientist Manager,Robert Walters,Barcelona,a través de Robert Walters,hace 17 días,De 40 mil € a 60 mil € al año,A tiempo completo,https://da.gd/mTbe1,https://da.gd/jYJaM
2,?,Principal Marketing Data Scientist,BANDAI NAMCO Mobile,Barcelona,a través de BANDAI NAMCO Mobile,hace 14 días,A tiempo completo,https://da.gd/fAPjkp,https://da.gd/3w4VR
3,?,NLP Data Scientist,IOMED,Barcelona,a través de AngelList,De 40 mil € a 45 mil € al año,A tiempo completo,https://da.gd/WtT5U,https://da.gd/fbn5
4,?,Data Scientist Senior,Buscojobs ES Premium,Barcelona,a través de Trabajo.org,hace 1 día,A tiempo completo,https://da.gd/iMbUDL,https://da.gd/qZrN
5,P,Data Scientist para Financial Advisory,pms,Barcelona,a través de Deloitte,hace 19 días,A tiempo completo,https://da.gd/kff4,https://da.gd/qZrN
6,D,Senior Data Scientist (m/f/d),DocMorris N.V.,Barcelona,a través de LinkedIn,hace 1 día,A tiempo completo,https://da.gd/flf7,https://da.gd/qZrN
7,?,S,Senior Data Scientist,Stuart,Barcelona,a través de Lever,A tiempo completo,https://da.gd/HRfJpB,https://da.gd/qZrN
8,Data Scientist,Mango,Barcelona,a través de Manfred,A tiempo completo,https://da.gd/hUVG5,https://da.gd/qZrN,,
9,Data Scientist,RED SAP Solutions,Barcelona,a través de BeBee,hace 6 días,https://da.gd/z8tgQN,https://da.gd/qZrN,,
10,S,Data Scientist,Spathios,Barcelona,a través de JobFluent,hace 8 días,A tiempo completo,https://da.gd/hE9uJx,https://da.gd/qZrN
11,?,Data Scientist,Block,Barcelona,a través de SmartRecruiters Job Search,hace 23 días,A tiempo completo,https://da.gd/44GQ1,https://da.gd/qZrN
12,Data Scientist Lead,OXIGENT Technologies,Barcelona,a través de Tecnoempleo,hace 6 días,De 39 mil € a 45 mil € al año,A tiempo completo,https://da.gd/nrfGax,https://da.gd/qZrN
13,Data Scientist,Grupo Planeta,Barcelona,a través de LinkedIn,A tiempo completo,https://da.gd/CkIQYv,https://da.gd/qZrN,,
14,?,Data Scientist Junior,Hays,Barcelona,a través de Glassdoor,hace 29 días,A tiempo completo,https://da.gd/4Hlf6,https://da.gd/qZrN
15,?,Python Dev / Data Scientist (MR-0104),Merlin Digital Partner,Barcelona,a través de Merlin Digital Partner - Teamtailor,De 40 € a 50 € al año,A tiempo completo,https://da.gd/el1Bs,https://da.gd/qZrN
16,?,Data Scientist,Aspire Data Recruitment,Barcelona,a través de Trabajo.org,hace 4 días,A tiempo completo,https://da.gd/glpu,https://da.gd/qZrN
17,?,Data scientist,HP,Barcelona,a través de BeBee,hace 6 días,A tiempo completo,https://da.gd/KNmNtq,https://da.gd/qZrN
18,?,Data Scientist,Seidor,Barcelona,a través de Talent.com,hace 16 horas,A tiempo completo,https://da.gd/nQvWXb,https://da.gd/qZrN
19,?,W,Senior Data Scientist,Wiris,Barcelona,a través de JobFluent,A tiempo completo,https://da.gd/8juSGt,https://da.gd/qZrN
